종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"282880","코윈테크","KOSDAQ","기계·장비","13780","-730","-5.03","153534100460"
"121850","코이즈","KOSDAQ","화학","808","-18","-2.18","24736253400"
"448710","코츠테크놀로지","KOSDAQ","일반전기전자","15500","-670","-4.14","80299129500"
"126730","코칩","KOSDAQ","일반전기전자","9250","-390","-4.05","78657005000"
"015710","코콤","KOSDAQ","일반전기전자","4700","-195","-3.98","82393350000"
"052330","코텍","KOSDAQ","일반전기전자","7670","-80","-1.03","119456813840"
"322780","코퍼스코리아","KOSDAQ","오락·문화","892","-31","-3.36","33835890796"
"200130","콜마비앤에이치","KOSDAQ","제약","12950","-130","-0.99","380931476100"
"294570","쿠콘","KOSDAQ","출판·매체복제","14820","-470","-3.07","151974431700"
"317690","퀀타매트릭스","KOSDAQ","의료·정밀기기","7080","290","4.27","117084869880"
"078940","퀀타피아","KOSDAQ","유통","2855","0","0.00","151584163690"
"227100","퀀텀온","KOSDAQ","기타서비스","989","36","3.78","19002825998"
"432720","퀄리타스반도체","KOSDAQ","일반전기전자","6790","-220","-3.14","94541189680"
"365270","큐라클","KOSDAQ","기타서비스","5740","-160","-2.71","79636576320"
"348080","큐라티스","KOSDAQ","기타서비스","698","-34","-4.64","32912102980"
"060280","큐렉소","KOSDAQ","유통","7480","120","1.63","307353125200"
"372320","큐로셀","KOSDAQ","기타서비스","24400","-900","-3.56","344360225600"
"051780","큐로홀딩스","KOSDAQ","유통","111","0","0.00","15142891950"
"115180","큐리언트","KOSDAQ","기타서비스","4855","-5","-0.10","156780917705"
"445680","큐리옥스바이오시스템즈","KOSDAQ","의료·정밀기기","18920","-480","-2.47","304550282960"
"182360","큐브엔터","KOSDAQ","오락·문화","16380","140","0.86","238682103660"
"405100","큐알티","KOSDAQ","기타서비스","11410","-470","-3.96","140220924410"
"066310","큐에스아이","KOSDAQ","일반전기전자","6260","-30","-0.48","58040347460"
"016600","큐캐피탈","KOSDAQ","금융","261","-6","-2.25","46522496232"
"355390","크라우드웍스","KOSDAQ","출판·매체복제","16060","2210","15.96","67847172360"
"096240","크레버스","KOSDAQ","기타서비스","15590","-100","-0.64","173644226200"
"040350","크레오에스지","KOSDAQ","기타서비스","605","9","1.51","112896220415"
"110790","크리스에프앤씨","KOSDAQ","섬유·의류","6540","20","0.31","153238478400"
"900250","크리스탈신소재","KOSDAQ","금융","899","-8","-0.88","117445363596"
"045520","크린앤사이언스","KOSDAQ","기계·장비","4650","20","0.43","30225000000"
"036170","클라우드에어","KOSDAQ","일반전기전자","859","-2","-0.23","52713072734"
"214150","클래시스","KOSDAQ","의료·정밀기기","46450","-2950","-5.97","3042737860550"
"466100","클로봇","KOSDAQ","기타서비스","7770","-330","-4.07","190793499960"
"352770","클리노믹스","KOSDAQ","기타서비스","521","-30","-5.44","20259664873"
"237880","클리오","KOSDAQ","화학","17140","-610","-3.44","309742990420"
"139670","키네마스터","KOSDAQ","출판·매체복제","2645","-110","-3.99","37344252450"
"413600","키움제6호스팩","KOSDAQ","금융","2215","10","0.45","7597450000"
"433530","키움제7호스팩","KOSDAQ","금융","1967","6","0.31","8074535000"
"446840","키움제8호스팩","KOSDAQ","금융","2130","0","0.00","12524400000"
"054780","키이스트","KOSDAQ","오락·문화","4490","-25","-0.55","87769590570"
"219130","타이거일렉","KOSDAQ","일반전기전자","13850","-520","-3.62","87452916500"
"336680","탑런토탈솔루션","KOSDAQ","일반전기전자","10870","-230","-2.07","212756107730"
"360070","탑머티리얼","KOSDAQ","일반전기전자","28900","-1300","-4.30","233417872700"
"065130","탑엔지니어링","KOSDAQ","기계·장비","4430","-270","-5.74","76151620260"
"134580","탑코미디어","KOSDAQ","기타서비스","1696","6","0.36","37355700832"
"023160","태광","KOSDAQ","금속","17120","290","1.72","453680000000"
"323280","태성","KOSDAQ","기계·장비","25800","-1500","-5.49","666174834000"
"053620","태양","KOSDAQ","금속","6150","40","0.65","52890000000"
"044490","태웅","KOSDAQ","금속","10420","-360","-3.34","208476910020"
"124560","태웅로직스","KOSDAQ","운송","2925","-120","-3.94","112368508200"
"191420","테고사이언스","KOSDAQ","제약","14790","-100","-0.67","119929654860"
"073640","테라사이언스","KOSDAQ","금속","654","0","0.00","62514162216"
"066700","테라젠이텍스","KOSDAQ","제약","3315","-70","-2.07","107652752025"
"095610","테스","KOSDAQ","기계·장비","14220","-370","-2.54","281104173720"
"064520","테크엘","KOSDAQ","일반전기전자","1830","-18","-0.97","40902443460"
"089030","테크윙","KOSDAQ","기계·장비","35100","-1000","-2.77","1311112939500"
"054450","텔레칩스","KOSDAQ","일반전기전자","11340","-320","-2.74","171735602220"
"200230","텔콘RF제약","KOSDAQ","제약","568","-9","-1.56","68302133480"
